Date,NYA,N225,IXIC,GSPTSE,HSI,GDAXI,SSMI,KS11,TWII,SS,SZ,N100,NSEI,JO
2012-08-10,8044.759766,8891.44043,3020.860107,11890.90039,20136.11914,6944.560059,6483.439941,1946.400024,7441.120117,2168.813965,9238.200195,655.169983,5320.399902,35574.51172
2012-08-13,8018.640137,8885.150391,3022.52002,11838.29981,20081.35938,6909.680176,6466.180176,1932.439941,7436.299805,2136.077881,9039.219727,652.669983,5347.899902,35417.94141
2012-08-14,8019.529785,8929.879883,3016.97998,11853.59961,20291.67969,6974.390137,6505.97998,1956.959961,7479.25,2142.523926,9089.620117,656.02002,5380.350098,35564.33984
2012-08-16,8089.990234,9092.759766,3062.389893,12032.59961,19962.94922,6996.290039,6518.430176,1957.910034,7490.209961,2112.197021,8973.379883,660.169983,5362.950195,35743.23047
2012-08-17,8102.069824,9162.5,3076.590088,12089.90039,20116.07031,7040.879883,6529.339844,1946.540039,7467.919922,2114.891113,8883.610352,662.330017,5366.299805,35547.32813
2012-08-21,8082.680176,9156.919922,3067.26001,12116.90039,20100.08984,7089.319824,6518.319824,1943.219971,7506.810059,2118.268066,8849.490234,665.210022,5421.0,35832.83984
2012-08-22,8074.200195,9131.740234,3073.669922,12119.0,19887.7793,7017.75,6475.470215,1935.189941,7496.580078,2107.710938,8726.019531,657.330017,5412.850098,35616.71094
2012-08-23,8011.439941,9178.120117,3053.399902,12062.5,20132.24023,6949.569824,6453.910156,1942.540039,7505.169922,2113.072021,8730.549805,651.929993,5415.350098,35843.92188
2012-08-24,8047.870117,9070.759766,3069.790039,12082.2002,19880.0293,6971.069824,6475.939941,1919.810059,7477.529785,2092.104004,8579.280273,652.590027,5386.700195,35794.12109
2012-08-29,8031.649902,9069.80957,3081.189941,12009.79981,19788.50977,7010.569824,6421.959961,1928.540039,7391.149902,2053.235107,8270.910156,651.780029,5287.799805,35737.17969
2012-08-30,7966.22998,8983.780273,3048.709961,11886.7002,19552.91016,6895.490234,6378.290039,1906.380005,7371.439941,2052.584961,8220.080078,645.890015,5315.049805,35307.35156
